#log,decomposeParDict,method,fvSolution,solveBatch,Build,Date,Time,nNodes,nProcs,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimePerStepWOLastStep,ClockTimePerStep,ExecutionTimePerStepWOLastStep,ExecutionTimePerStep
log.pimpleFoam.No2,mpi_00020,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 16 2015,15:16:30, 2,20,0.445924,0.461484,0.003552,3.19102e-06,2,0.0713466,2.74181e-06,4,0.0955282,2.13824e-06,4,0.830201,0.0270234,2,0.825182,9.39094e-07,35,7.28987e-10,-1.60171e-19,-9.88311e-20,2.53268e-14,4.05972e-20,-5.82339e-20,52,11,341,348,8.26,338,344.35,6.6,6.60784,6.5948,6.59
log.pimpleFoam.No3,mpi_00020,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 16 2015,15:22:48, 2,20,0.445924,0.461484,0.003552,3.19102e-06,2,0.0713466,2.74181e-06,4,0.0955282,2.13824e-06,4,0.830201,0.0270234,2,0.825182,9.39094e-07,35,7.28987e-10,-1.60171e-19,-9.88311e-20,2.53268e-14,4.05972e-20,-5.82339e-20,52,10,340,347,8.2,337.67,343.99,6.6,6.60784,6.5894,6.58412
log.pimpleFoam.No4,mpi_00020,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 16 2015,15:29:02, 2,20,0.445924,0.461484,0.003552,3.19102e-06,2,0.0713466,2.74181e-06,4,0.0955282,2.13824e-06,4,0.830201,0.0270234,2,0.825182,9.39094e-07,35,7.28987e-10,-1.60171e-19,-9.88311e-20,2.53268e-14,4.05972e-20,-5.82339e-20,52,10,340,347,8.17,337.39,343.72,6.6,6.60784,6.5844,6.57941
log.pimpleFoam.No5,mpi_00020,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 16 2015,15:35:30, 2,20,0.445924,0.461484,0.003552,3.19102e-06,2,0.0713466,2.74181e-06,4,0.0955282,2.13824e-06,4,0.830201,0.0270234,2,0.825182,9.39094e-07,35,7.28987e-10,-1.60171e-19,-9.88311e-20,2.53268e-14,4.05972e-20,-5.82339e-20,52,10,357,366,8.53,355.72,362.39,6.94,6.98039,6.9438,6.93843
log.pimpleFoam.No6,mpi_00020,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 16 2015,15:42:00, 2,20,0.445924,0.461484,0.003552,3.19102e-06,2,0.0713466,2.74181e-06,4,0.0955282,2.13824e-06,4,0.830201,0.0270234,2,0.825182,9.39094e-07,35,7.28987e-10,-1.60171e-19,-9.88311e-20,2.53268e-14,4.05972e-20,-5.82339e-20,52,10,340,348,8.27,337.98,344.32,6.6,6.62745,6.5942,6.58922
log.pimpleFoam.No1,mpi_00020,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 16 2015,07:39:27, 2,20,0.445924,0.461484,0.003552,3.19102e-06,2,0.0716643,2.75546e-06,4,0.0955419,2.14455e-06,4,0.830661,0.039219,14,0.831432,9.93609e-07,249,1.05819e-09,2.32318e-20,-3.05268e-18,2.72126e-14,2.41582e-21,-3.05026e-18,52,11,398,408,10.12,397.12,404.74,7.74,7.78431,7.74,7.73765
log.pimpleFoam.No2,mpi_00020,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 16 2015,08:18:26, 2,20,0.445924,0.461484,0.003552,3.19102e-06,2,0.0716643,2.75546e-06,4,0.0955419,2.14455e-06,4,0.830661,0.039219,14,0.831432,9.93609e-07,249,1.05819e-09,2.32318e-20,-3.05268e-18,2.72126e-14,2.41582e-21,-3.05026e-18,52,11,399,408,10.25,397.29,404.89,7.76,7.78431,7.7408,7.73804
log.pimpleFoam.No3,mpi_00020,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 16 2015,08:55:00, 2,20,0.445924,0.461484,0.003552,3.19102e-06,2,0.0716643,2.75546e-06,4,0.0955419,2.14455e-06,4,0.830661,0.039219,14,0.831432,9.93609e-07,249,1.05819e-09,2.32318e-20,-3.05268e-18,2.72126e-14,2.41582e-21,-3.05026e-18,52,12,399,408,10.15,397.02,404.61,7.74,7.76471,7.7374,7.73451
log.pimpleFoam.No4,mpi_00020,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 16 2015,09:28:33, 2,20,0.445924,0.461484,0.003552,3.19102e-06,2,0.0716643,2.75546e-06,4,0.0955419,2.14455e-06,4,0.830661,0.039219,14,0.831432,9.93609e-07,249,1.05819e-09,2.32318e-20,-3.05268e-18,2.72126e-14,2.41582e-21,-3.05026e-18,52,12,400,409,10.18,397.24,404.85,7.76,7.78431,7.7412,7.73863
log.pimpleFoam.No5,mpi_00020,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 16 2015,09:35:29, 2,20,0.445924,0.461484,0.003552,3.19102e-06,2,0.0716643,2.75546e-06,4,0.0955419,2.14455e-06,4,0.830661,0.039219,14,0.831432,9.93609e-07,249,1.05819e-09,2.32318e-20,-3.05268e-18,2.72126e-14,2.41582e-21,-3.05026e-18,52,11,399,409,10.31,397.73,405.37,7.76,7.80392,7.7484,7.74627
