#log,decomposeParDict,method,fvSolution,solveBatch,Build,Date,Time,nNodes,nProcs,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimePerStepWOLastStep,ClockTimePerStep,ExecutionTimePerStepWOLastStep,ExecutionTimePerStep
log.pimpleFoam.No1,mpi_00040,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 25 2016,02:40:24,1,40,0.448935,0.459897,0.00326697,1.57348e-06,2,0.0262705,5.40242e-06,3,0.03764,6.09672e-06,3,0.82881,0.0394207,27,0.834256,9.97134e-07,957,3.72475e-10,-9.67685e-20,-3.12448e-19,9.5592e-15,2.2878e-19,-8.36678e-20,51,109,2274,2351,83.33,2246.81,2323.15,44.1837,44.84,44.1527,44.7964
log.pimpleFoam.No2,mpi_00040,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 25 2016,08:40:35,1,40,0.448935,0.459897,0.00326697,1.57348e-06,2,0.0262705,5.40242e-06,3,0.03764,6.09672e-06,3,0.82881,0.0394207,27,0.834256,9.97134e-07,957,3.72475e-10,-9.67685e-20,-3.12448e-19,9.5592e-15,2.2878e-19,-8.36678e-20,51,134,2302,2379,82.3,2247.8,2324.19,44.2449,44.9,44.1939,44.8378
log.pimpleFoam.No3,mpi_00040,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 25 2016,08:40:35,1,40,0.448935,0.459897,0.00326697,1.57348e-06,2,0.0262705,5.40242e-06,3,0.03764,6.09672e-06,3,0.82881,0.0394207,27,0.834256,9.97134e-07,957,3.72475e-10,-9.67685e-20,-3.12448e-19,9.5592e-15,2.2878e-19,-8.36678e-20,51,135,2292,2368,84.14,2236.83,2312.8,44.0204,44.66,43.9324,44.5732
log.pimpleFoam.No4,mpi_00040,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 25 2016,08:40:35,1,40,0.448935,0.459897,0.00326697,1.57348e-06,2,0.0262705,5.40242e-06,3,0.03764,6.09672e-06,3,0.82881,0.0394207,27,0.834256,9.97134e-07,957,3.72475e-10,-9.67685e-20,-3.12448e-19,9.5592e-15,2.2878e-19,-8.36678e-20,51,136,2299,2375,84.09,2243.01,2319.25,44.1429,44.78,44.0596,44.7032
log.pimpleFoam.No5,mpi_00040,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 25 2016,09:20:24,1,40,0.448935,0.459897,0.00326697,1.57348e-06,2,0.0262705,5.40242e-06,3,0.03764,6.09672e-06,3,0.82881,0.0394207,27,0.834256,9.97134e-07,957,3.72475e-10,-9.67685e-20,-3.12448e-19,9.5592e-15,2.2878e-19,-8.36678e-20,51,102,2260,2336,82.82,2237.73,2313.66,44.0408,44.68,43.9778,44.6168
log.pimpleFoam.No6,mpi_00040,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 25 2016,09:21:23,1,40,0.448935,0.459897,0.00326697,1.57348e-06,2,0.0262705,5.40242e-06,3,0.03764,6.09672e-06,3,0.82881,0.0394207,27,0.834256,9.97134e-07,957,3.72475e-10,-9.67685e-20,-3.12448e-19,9.5592e-15,2.2878e-19,-8.36678e-20,51,94,2271,2347,82.29,2255.94,2332.68,44.4286,45.06,44.3602,45.0078
log.pimpleFoam.No1,mpi_00040,scotch,PCG-DIC,OF230_Icc14_IntelMPI513,2.3.0-f5222ca19ce6,Sep 25 2016,01:43:14,1,40,0.448935,0.459897,0.00326697,1.57348e-06,2,0.0262705,5.40242e-06,3,0.0376401,6.09671e-06,3,0.82881,0.0394207,27,0.834256,9.9826e-07,957,3.72475e-10,9.15033e-20,6.46098e-19,9.56984e-15,9.18025e-20,7.379e-19,51,93,2292,2370,81.02,2278.05,2355.46,44.8776,45.54,44.8373,45.4888
log.pimpleFoam.No2,mpi_00040,scotch,PCG-DIC,OF230_Icc14_IntelMPI513,2.3.0-f5222ca19ce6,Sep 25 2016,08:40:31,1,40,0.448935,0.459897,0.00326697,1.57348e-06,2,0.0262706,5.40242e-06,3,0.03764,6.09671e-06,3,0.82881,0.0394207,27,0.834256,9.856e-07,957,3.72475e-10,-1.73735e-19,-5.71248e-19,9.44832e-15,-6.60779e-20,-6.37326e-19,51,124,2346,2424,81.51,2301.46,2379.65,45.3469,46,45.3051,45.9628
log.pimpleFoam.No3,mpi_00040,scotch,PCG-DIC,OF230_Icc14_IntelMPI513,2.3.0-f5222ca19ce6,Sep 25 2016,08:40:34,1,40,0.448935,0.459897,0.00326697,1.57348e-06,2,0.0262706,5.40242e-06,3,0.03764,6.09671e-06,3,0.82881,0.0394207,27,0.834256,9.98109e-07,957,3.72475e-10,-1.10156e-19,-5.69789e-19,9.56831e-15,2.65553e-21,-5.67133e-19,51,133,2315,2392,79.98,2260.29,2337.16,44.5306,45.18,44.4961,45.1436
log.pimpleFoam.No4,mpi_00040,scotch,PCG-DIC,OF230_Icc14_IntelMPI513,2.3.0-f5222ca19ce6,Sep 25 2016,08:59:41,1,40,0.448935,0.459897,0.00326697,1.57348e-06,2,0.0262705,5.40242e-06,3,0.03764,6.09671e-06,3,0.82881,0.0394208,27,0.834256,9.88947e-07,957,3.72475e-10,2.31298e-19,-1.83339e-19,9.4805e-15,1.9945e-20,-1.63394e-19,51,92,2292,2369,80.7,2278.54,2355.92,44.898,45.54,44.8539,45.5044
log.pimpleFoam.No5,mpi_00040,scotch,PCG-DIC,OF230_Icc14_IntelMPI513,2.3.0-f5222ca19ce6,Sep 25 2016,09:20:55,1,40,0.448935,0.459897,0.00326697,1.57348e-06,2,0.0262705,5.40242e-06,3,0.03764,6.09672e-06,3,0.82881,0.0394208,27,0.834256,9.96385e-07,957,3.72475e-10,1.6298e-19,-8.13968e-19,9.55192e-15,1.5322e-19,-6.60748e-19,51,91,2271,2348,80.1,2257.12,2333.81,44.4898,45.14,44.429,45.0742
log.pimpleFoam.No6,mpi_00040,scotch,PCG-DIC,OF230_Icc14_IntelMPI513,2.3.0-f5222ca19ce6,Sep 25 2016,09:39:35,1,40,0.448935,0.459897,0.00326697,1.57348e-06,2,0.0262705,5.40242e-06,3,0.03764,6.09671e-06,3,0.82881,0.0394208,27,0.834256,9.85773e-07,957,3.72475e-10,9.03504e-20,1.03902e-20,9.44996e-15,-4.44987e-19,-4.34596e-19,51,92,2289,2367,80.73,2275.96,2353.19,44.8367,45.5,44.8006,45.4492
log.pimpleFoam.No1,mpi_00040,scotch,PCG-DIC,OF230_Icc14_IntelMPI513_DEBUG2,2.3.0-f5222ca19ce6,Sep 28 2016,13:01:25,1,40,0.448935,0.459897,0.00326697,1.57348e-06,2,0.0262706,5.40242e-06,3,0.03764,6.09671e-06,3,0.82881,0.0394207,27,0.834256,9.98188e-07,957,3.72475e-10,-2.14366e-19,-3.18904e-19,9.56906e-15,5.57617e-21,-3.13328e-19,51,95,2316,2394,81.67,2302.18,2380.32,45.3265,45.98,45.3165,45.973
log.pimpleFoam.No1,mpi_00040,scotch,PCG-DIC,OF230_Icc_IntelMPI,2.3.0-f5222ca19ce6,Sep 25 2016,09:59:40,1,40,0.448935,0.459897,0.00326697,1.57348e-06,2,0.0262705,5.40242e-06,3,0.0376401,6.09672e-06,3,0.82881,0.0394207,27,0.834256,9.98797e-07,957,3.72475e-10,-1.51545e-19,1.31155e-18,9.57495e-15,5.79998e-20,1.36955e-18,51,92,2292,2369,80.98,2280.66,2358.03,44.898,45.54,44.8914,45.541
log.pimpleFoam.No2,mpi_00040,scotch,PCG-DIC,OF230_Icc_IntelMPI,2.3.0-f5222ca19ce6,Sep 25 2016,10:19:20,1,40,0.448935,0.459897,0.00326697,1.57348e-06,2,0.0262705,5.40242e-06,3,0.03764,6.09671e-06,3,0.82881,0.0394207,27,0.834256,9.91681e-07,957,3.72475e-10,6.06352e-20,1.21704e-18,9.50655e-15,-1.5064e-19,1.0664e-18,51,92,2291,2368,80.73,2278.98,2356.2,44.8776,45.52,44.8622,45.5094
log.pimpleFoam.No3,mpi_00040,scotch,PCG-DIC,OF230_Icc_IntelMPI,2.3.0-f5222ca19ce6,Sep 25 2016,10:39:34,1,40,0.448935,0.459897,0.00326697,1.57348e-06,2,0.0262705,5.40242e-06,3,0.0376401,6.09672e-06,3,0.82881,0.0394208,27,0.834256,9.8965e-07,957,3.72475e-10,6.36311e-21,-1.33223e-18,9.48721e-15,7.92728e-21,-1.3243e-18,51,93,2292,2369,80.83,2277.75,2354.89,44.8776,45.52,44.8351,45.4812
log.pimpleFoam.No4,mpi_00040,scotch,PCG-DIC,OF230_Icc_IntelMPI,2.3.0-f5222ca19ce6,Sep 25 2016,19:10:19,1,40,0.448935,0.459897,0.00326697,1.57348e-06,2,0.0262705,5.40242e-06,3,0.03764,6.09671e-06,3,0.82881,0.0394207,27,0.834256,9.84212e-07,957,3.72475e-10,1.94852e-19,-6.67801e-19,9.43528e-15,1.90162e-19,-4.77638e-19,51,97,2298,2375,81.12,2279.53,2356.94,44.9184,45.56,44.8655,45.5164
log.pimpleFoam.No5,mpi_00040,scotch,PCG-DIC,OF230_Icc_IntelMPI,2.3.0-f5222ca19ce6,Sep 25 2016,21:48:46,1,40,0.448935,0.459897,0.00326697,1.57348e-06,2,0.0262705,5.40242e-06,3,0.03764,6.09671e-06,3,0.82881,0.0394207,27,0.834256,9.95688e-07,957,3.72475e-10,1.58699e-19,-5.32695e-19,9.54495e-15,-1.57216e-19,-6.89911e-19,51,93,2316,2394,81.72,2300.4,2378.57,45.3673,46.02,45.2792,45.937
log.pimpleFoam.No1,mpi_00040,scotch,PCG-DIC,OF40_Icc_IntelMPI_tune,4.0,Sep 28 2016,00:51:13,1,40,0.448935,0.459897,0.00326697,1.57347e-06,2,0.0264357,5.58859e-06,3,0.0379264,5.8361e-06,3,0.833232,0.0397023,27,0.838601,9.92668e-07,957,3.72432e-10,-9.57188e-21,-2.95497e-19,9.46606e-15,-5.79196e-21,-3.01289e-19,51,97,3313,3390,80.18,3293.01,3369.9,65.6327,65.86,65.568,65.7944
log.pimpleFoam.No1,mpi_00080,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 25 2016,02:40:27,2,80,0.448935,0.459898,0.00326697,1.78192e-06,2,0.0273386,5.64733e-06,3,0.038283,6.0556e-06,3,0.825588,0.039709,25,0.831256,9.73472e-07,481,4.20324e-10,-1.25385e-20,3.95198e-19,1.11219e-14,2.06554e-19,6.01752e-19,51,63,1091,1111,45.73,1071.19,1092,20.9796,20.96,20.9278,20.9254
log.pimpleFoam.No2,mpi_00080,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 25 2016,08:40:56,2,80,0.448935,0.459898,0.00326697,1.78192e-06,2,0.0273386,5.64733e-06,3,0.038283,6.0556e-06,3,0.825588,0.039709,25,0.831256,9.73472e-07,481,4.20324e-10,-1.25385e-20,3.95198e-19,1.11219e-14,2.06554e-19,6.01752e-19,51,74,1096,1117,44.74,1064.94,1085.62,20.8571,20.86,20.8204,20.8176
log.pimpleFoam.No3,mpi_00080,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 25 2016,09:00:46,2,80,0.448935,0.459898,0.00326697,1.78192e-06,2,0.0273386,5.64733e-06,3,0.038283,6.0556e-06,3,0.825588,0.039709,25,0.831256,9.73472e-07,481,4.20324e-10,-1.25385e-20,3.95198e-19,1.11219e-14,2.06554e-19,6.01752e-19,51,53,1076,1097,45,1067.86,1088.51,20.8776,20.88,20.8747,20.8702
log.pimpleFoam.No4,mpi_00080,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 25 2016,09:20:28,2,80,0.448935,0.459898,0.00326697,1.78192e-06,2,0.0273386,5.64733e-06,3,0.038283,6.0556e-06,3,0.825588,0.039709,25,0.831256,9.73472e-07,481,4.20324e-10,-1.25385e-20,3.95198e-19,1.11219e-14,2.06554e-19,6.01752e-19,51,56,1079,1100,45.15,1066.51,1087.2,20.8776,20.88,20.8441,20.841
log.pimpleFoam.No5,mpi_00080,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 25 2016,09:42:12,2,80,0.448935,0.459898,0.00326697,1.78192e-06,2,0.0273386,5.64733e-06,3,0.038283,6.0556e-06,3,0.825588,0.039709,25,0.831256,9.73472e-07,481,4.20324e-10,-1.25385e-20,3.95198e-19,1.11219e-14,2.06554e-19,6.01752e-19,51,52,1075,1096,45,1066.38,1087.05,20.8776,20.88,20.8445,20.841
log.pimpleFoam.No6,mpi_00080,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 25 2016,10:17:53,2,80,0.448935,0.459898,0.00326697,1.78192e-06,2,0.0273386,5.64733e-06,3,0.038283,6.0556e-06,3,0.825588,0.039709,25,0.831256,9.73472e-07,481,4.20324e-10,-1.25385e-20,3.95198e-19,1.11219e-14,2.06554e-19,6.01752e-19,51,52,1075,1096,45.19,1066.08,1086.74,20.8776,20.88,20.8345,20.831
log.pimpleFoam.No1,mpi_00080,scotch,PCG-DIC,OF230_Icc14_IntelMPI513,2.3.0-f5222ca19ce6,Sep 25 2016,08:40:51,2,80,0.448935,0.460326,0.00326697,1.78203e-06,2,0.0536709,5.12035e-08,5,0.07088,3.32063e-06,4,0.429576,0.0211592,15,0.281988,9.91026e-07,497,7.24646e-10,1.06953e-19,1.22835e-18,3.57741e-14,1.05359e-19,1.33371e-18,51,74,1151,1173,40.85,1116.8,1138.23,21.9796,21.98,21.9582,21.9476
