#Dir,file,mx,my,mz,deltaT,endTime,method,nx,ny,nz,simulationType,LESModel,delta,solver,preconditioner,Build,Date,Time,nProcs,nCells,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ExectutionTime0(s),ExectutionTime1(s),ExectutionTime/Steps(s)
n_00008/mpi_00002/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_GAMG-smoother_GaussSeidel,log.pimpleFoam.1492095,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,GAMG,GaussSeidel,dev-4b193b1cea31,Jan 10 2018,19:22:06,2,2995200,0.452684,0.458984,0.017889,4.15156e-06,2,0.132406,1.04788e-06,5,0.122896,4.70146e-06,4,0.803362,0.0271652,5,0.805112,8.77976e-07,61,4.51632e-10,-3.67427e-21,1.70274e-19,1.46642e-14,-2.6563e-22,1.70008e-19,11,5.65,46.13,4.048
n_00008/mpi_00002/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_PCG-preconditioner_diagonal,log.pimpleFoam.1492095,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,PCG,diagonal,dev-4b193b1cea31,Jan 10 2018,19:11:59,2,2995200,0.452684,0.458984,0.017889,4.15156e-06,2,0.132373,1.05441e-06,5,0.122373,4.68549e-06,4,0.803656,0.0401485,92,0.808056,9.88577e-07,1837,6.68278e-10,-3.15969e-21,-1.50279e-19,1.69004e-14,-4.63376e-21,-1.54913e-19,11,4.62,39.16,3.454
n_00008/mpi_00002/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_PCG-preconditioner_DIC,log.pimpleFoam.1492095,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,PCG,DIC,dev-4b193b1cea31,Jan 10 2018,19:01:17,2,2995200,0.452684,0.458984,0.017889,4.15157e-06,2,0.132565,1.05207e-06,5,0.122846,4.69193e-06,4,0.80332,0.0392064,46,0.806609,9.82639e-07,1129,6.52272e-10,-5.01026e-21,4.08637e-20,1.66807e-14,-7.85773e-21,3.3006e-20,11,5.39,34.56,2.917
n_00008/mpi_00002/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_GaussSeidel,log.pimpleFoam.1492095,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,GaussSeidel,dev-4b193b1cea31,Jan 10 2018,20:00:03,2,2995200,0.451803,0.458986,0.0142051,3.5516e-06,2,0.123369,8.70544e-06,4,0.113362,3.19582e-06,4,0.796561,0.0271261,5,0.803297,9.77269e-07,58,4.30594e-10,-9.13701e-21,-2.79367e-19,1.56626e-14,-4.87307e-21,-2.8424e-19,11,6.67,53.39,4.672
n_00008/mpi_00002/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_PCG-preconditioner_diagonal,log.pimpleFoam.1492095,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,PCG,diagonal,dev-4b193b1cea31,Jan 10 2018,19:47:17,2,2995200,0.451803,0.458986,0.0142051,3.5516e-06,2,0.12327,8.70578e-06,4,0.113106,3.18382e-06,4,0.796491,0.0396774,94,0.806134,9.90229e-07,1843,6.30715e-10,-1.65506e-20,-2.41189e-19,1.62403e-14,-1.18945e-20,-2.53084e-19,11,5.62,47.85,4.223
n_00008/mpi_00002/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_PCG-preconditioner_DIC,log.pimpleFoam.1492095,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,PCG,DIC,dev-4b193b1cea31,Jan 10 2018,19:34:47,2,2995200,0.451803,0.458986,0.0142051,3.5516e-06,2,0.123462,8.71656e-06,4,0.113444,3.18904e-06,4,0.796411,0.038635,46,0.804304,9.98447e-07,1172,6.14058e-10,-1.47579e-20,-5.91443e-20,1.62724e-14,-2.1128e-20,-8.02723e-20,11,5.2,41.29,3.609
