#Dir,file,mx,my,mz,deltaT,endTime,method,nx,ny,nz,simulationType,LESModel,delta,solver,preconditioner,Build,Date,Time,nProcs,nCells,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ExectutionTime0(s),ExectutionTime1(s),ExectutionTime/Steps(s)
n_00008/mpi_00032/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_GAMG-smoother_GaussSeidel,log.pimpleFoam.463279,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,GAMG,GaussSeidel,dev,Jan 11 2018,15:05:14,32,2995200,0.452684,0.458978,0.017889,7.53146e-07,3,0.142892,9.83752e-06,4,0.138533,5.14558e-06,4,0.734309,0.03287,4,0.732674,9.15941e-07,69,8.78833e-11,-9.92135e-20,-2.416e-18,2.51964e-15,-9.36399e-20,-2.50964e-18,11,12.42,135.84,12.342
n_00008/mpi_00032/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_PCG-preconditioner_diagonal,log.pimpleFoam.463279,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,PCG,diagonal,dev,Jan 11 2018,14:52:45,32,2995200,0.452684,0.458978,0.017889,7.53146e-07,3,0.142939,9.83737e-06,4,0.138534,5.15245e-06,4,0.734225,0.0358693,40,0.733214,9.92237e-07,1696,9.60157e-11,-1.20352e-19,-2.41096e-18,2.73359e-15,-1.18757e-19,-2.52971e-18,11,3.13,19.14,1.601
n_00008/mpi_00032/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_PCG-preconditioner_DIC,log.pimpleFoam.463279,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,PCG,DIC,dev,Jan 11 2018,14:43:40,32,2995200,0.452684,0.458978,0.017889,7.53146e-07,3,0.142953,9.8359e-06,4,0.138554,5.15139e-06,4,0.734184,0.0351202,22,0.731775,9.79964e-07,556,9.39786e-11,-1.15618e-19,-2.15552e-18,2.87189e-15,-1.18629e-19,-2.27415e-18,11,6.75,16.21,0.946
n_00008/mpi_00032/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_GaussSeidel,log.pimpleFoam.463279,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,GaussSeidel,dev,Jan 11 2018,15:47:35,32,2995200,0.451803,0.458978,0.0142051,6.19816e-07,3,0.140331,7.72305e-06,4,0.135071,3.7885e-06,4,0.742793,0.0337786,4,0.743146,9.39441e-07,63,8.43078e-11,-1.07658e-19,-2.3641e-18,2.39762e-15,-1.05918e-19,-2.47001e-18,11,12.17,125.57,11.34
n_00008/mpi_00032/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_PCG-preconditioner_diagonal,log.pimpleFoam.463279,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,PCG,diagonal,dev,Jan 11 2018,15:32:55,32,2995200,0.451803,0.458978,0.0142051,6.19816e-07,3,0.140399,7.7256e-06,4,0.135117,3.79525e-06,4,0.742833,0.0361466,42,0.743584,9.99141e-07,875,9.03389e-11,-8.20185e-20,-2.17158e-18,2.6183e-15,-8.54564e-20,-2.25704e-18,11,2.87,21.46,1.859
n_00008/mpi_00032/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_PCG-preconditioner_DIC,log.pimpleFoam.463279,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,PCG,DIC,dev,Jan 11 2018,15:19:34,32,2995200,0.451803,0.458978,0.0142051,6.19816e-07,3,0.1404,7.72401e-06,4,0.135124,3.79464e-06,4,0.742789,0.0369995,23,0.743191,9.80683e-07,557,9.24387e-11,-9.04264e-20,-2.33711e-18,2.51115e-15,-9.35604e-20,-2.43068e-18,11,3.27,15.37,1.21
