#decomposeParDict,method,fvSolution,solveBatch,log,Build,Date,Time,nNodes,nProcs,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimePerStepWOLastStep,ClockTimePerStep,ExecutionTimePerStepWOLastStep,ExecutionTimePerStep
mpi_00064-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,08:25:37,2,64,0.454204,0.458643,0.016723,7.01868e-06,2,0.16791,7.56181e-07,5,0.194413,4.97349e-07,5,0.847247,0.0422079,36,0.847536,9.97587e-07,507,7.07321e-10,-7.44638e-21,1.6335e-19,1.93775e-14,-1.40228e-20,1.49328e-19,10,26,329,355,24.06,326.49,352.91,37.875,36.5556,37.8038,36.5389
mpi_00064-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,08:30:46,2,64,0.454204,0.458643,0.016723,7.01868e-06,2,0.16791,7.56182e-07,5,0.194413,4.97349e-07,5,0.847247,0.0422079,36,0.847536,9.96578e-07,507,7.07322e-10,-1.15009e-20,1.55011e-19,1.936e-14,-1.24864e-20,1.42524e-19,10,23,291,314,21.71,289.41,312.26,33.5,32.3333,33.4625,32.2833
mpi_00064-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,08:09:24,2,64,0.454204,0.458643,0.016723,7.01868e-06,2,0.16791,7.56181e-07,5,0.194413,4.97349e-07,5,0.847247,0.0422083,36,0.847536,9.97598e-07,507,7.07328e-10,-1.35522e-20,1.50414e-19,1.93776e-14,-1.01176e-20,1.40296e-19,10,23,284,306,20.93,281.29,303.51,32.625,31.4444,32.545,31.3978
mpi_00064-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,08:12:14,2,64,0.454204,0.458643,0.016723,7.01868e-06,2,0.16791,7.56181e-07,5,0.194413,4.97349e-07,5,0.847247,0.0422079,36,0.847536,9.97551e-07,507,7.07323e-10,-1.03647e-20,2.0225e-19,1.93768e-14,-9.43651e-21,1.92813e-19,10,24,315,341,22.76,313.29,339.34,36.375,35.2222,36.3163,35.1756
mpi_00064-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,08:13:13,2,64,0.454204,0.458643,0.016723,7.01868e-06,2,0.16791,7.56181e-07,5,0.194413,4.97349e-07,5,0.847247,0.042208,36,0.847536,9.9741e-07,507,7.07324e-10,-1.05179e-20,2.09259e-19,1.93743e-14,-1.58995e-20,1.93359e-19,10,24,284,306,20.98,280.66,302.88,32.5,31.3333,32.46,31.3222
mpi_00064-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,08:17:30,2,64,0.454204,0.458643,0.016723,7.01868e-06,2,0.521937,2.62344e-06,5,0.194413,4.97287e-07,5,0.957088,0.0434846,7,0.217884,9.94319e-07,449,2.59711e-09,-3.06675e-21,1.77803e-19,1.01795e-13,-1.21847e-20,1.65618e-19,10,28,339,362,24.77,335.94,358.63,38.875,37.1111,38.8963,37.0956
mpi_00064-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,08:21:25,2,64,0.454204,0.458643,0.016723,7.01868e-06,2,0.16791,7.56181e-07,5,0.194413,4.97349e-07,5,0.847247,0.0422095,36,0.847536,9.9641e-07,507,7.07349e-10,-1.12414e-20,2.46792e-19,1.93558e-14,-1.09726e-20,2.35819e-19,10,30,384,415,27.54,380.83,412.55,44.25,42.7778,44.1612,42.7789
mpi_00064-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,08:21:35,2,64,0.454204,0.458643,0.016723,7.01868e-06,2,0.16791,7.56181e-07,5,0.194413,4.97349e-07,5,0.847247,0.0422078,36,0.847536,9.97906e-07,507,7.07321e-10,-4.92538e-21,2.08276e-19,1.93865e-14,-7.23535e-21,2.01041e-19,10,27,338,364,25.68,336.76,363.12,38.875,37.4444,38.885,37.4933
mpi_00128-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,17:06:14,4,128,0.454204,0.458642,0.016723,9.33425e-06,2,0.13039,8.23847e-06,4,0.122592,3.97911e-06,4,0.990643,0.0475744,31,0.887703,9.98617e-07,630,9.48659e-10,-3.32963e-20,-3.9155e-19,2.40276e-14,-3.2176e-20,-4.23726e-19,10,21,123,136,19.77,121.38,134.51,12.75,12.7778,12.7012,12.7489
mpi_00128-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258-a,log.pimpleFoam.No2,4.1IAR,Nov 22 2017,17:30:24,4,128,0.454204,0.458642,0.016723,9.33425e-06,2,0.13039,8.23847e-06,4,0.122592,3.97911e-06,4,0.990643,0.0475744,31,0.887703,9.98617e-07,630,9.48659e-10,-3.32963e-20,-3.9155e-19,2.40276e-14,-3.2176e-20,-4.23726e-19,10,22,124,137,20.16,121.8,134.9,12.75,12.7778,12.705,12.7489
