#Dir,file,mx,my,mz,deltaT,endTime,method,nx,ny,nz,simulationType,LESModel,delta,solver,preconditioner,Build,Date,Time,nProcs,nCells,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ExectutionTime0(s),ExectutionTime1(s),ExectutionTime/Steps(s)
n_00008/mpi_00001/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_GAMG-smoother_GaussSeidel,log.pimpleFoam.6418,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,GAMG,GaussSeidel,dev-874069affafd,May 29 2015,23:54:00,1,2995200,0.449092,0.458986,0.0141661,1.53967e-06,2,0.117264,1.33746e-06,4,0.325996,6.31879e-06,4,0.719399,0.0232385,5,0.733491,8.29083e-07,30,2.22182e-10,-3.59495e-20,3.72313e-19,8.11385e-15,-4.1385e-20,3.30928e-19,11,12.13,67.25,5.512
n_00008/mpi_00001/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_PCG-preconditioner_diagonal,log.pimpleFoam.6418,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,PCG,diagonal,dev-874069affafd,May 29 2015,23:49:25,1,2995200,0.449092,0.458986,0.0141661,1.53967e-06,2,0.117447,1.33723e-06,4,0.233199,6.19422e-06,4,0.720618,0.0360205,147,0.740324,9.61362e-07,1821,3.48079e-10,-1.66765e-21,-2.9174e-19,9.56819e-15,-3.28027e-21,-2.9502e-19,11,27.91,274.61,24.67
n_00008/mpi_00001/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_PCG-preconditioner_DIC,log.pimpleFoam.6418,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,PCG,DIC,dev-874069affafd,May 29 2015,23:45:18,1,2995200,0.449092,0.458986,0.0141661,1.53967e-06,2,0.117336,1.33478e-06,4,0.208155,5.48289e-06,4,0.720195,0.0358506,57,0.738357,9.59695e-07,1026,3.46517e-10,2.4264e-20,1.57484e-20,9.54097e-15,2.3539e-20,3.92874e-20,11,23.92,246.16,22.224
n_00008/mpi_00001/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_GaussSeidel,log.pimpleFoam.6418,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,GaussSeidel,dev-874069affafd,May 30 2015,00:04:42,1,2995200,0.447773,0.458986,0.0111929,1.2906e-06,2,0.124917,1.41342e-06,4,0.314435,5.07649e-06,4,0.748754,0.0249897,5,0.762602,9.99699e-07,38,2.16655e-10,5.42296e-20,6.30988e-19,8.93497e-15,5.20852e-20,6.83073e-19,11,13.95,95.63,8.168
n_00008/mpi_00001/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_PCG-preconditioner_diagonal,log.pimpleFoam.6418,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,PCG,diagonal,dev-874069affafd,May 29 2015,23:59:43,1,2995200,0.447773,0.458986,0.0111929,1.2906e-06,2,0.125041,1.41257e-06,4,0.221909,5.05616e-06,4,0.749945,0.0374854,148,0.769097,9.72254e-07,1819,3.28247e-10,2.3093e-20,1.64431e-19,8.81152e-15,2.43585e-20,1.88789e-19,11,28.99,297.83,26.884
n_00008/mpi_00001/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_PCG-preconditioner_DIC,log.pimpleFoam.6418,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,PCG,DIC,dev-874069affafd,May 29 2015,23:55:08,1,2995200,0.447773,0.458986,0.0111929,1.2906e-06,2,0.124751,1.40656e-06,4,0.18767,3.98919e-06,4,0.749152,0.0372129,58,0.766041,9.35418e-07,1025,3.25914e-10,3.38329e-21,4.07029e-20,8.46845e-15,3.58103e-21,4.42839e-20,11,26.59,274.14,24.755
