#Dir,file,mx,my,mz,deltaT,endTime,method,nx,ny,nz,simulationType,LESModel,delta,solver,preconditioner,Build,Date,Time,nProcs,nCells,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ExectutionTime0(s),ExectutionTime1(s),ExectutionTime/Steps(s)
n_00008/mpi_00016/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_GAMG-smoother_GaussSeidel,log.pimpleFoam.67670,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,GAMG,GaussSeidel,dev,Jan 11 2018,15:06:25,16,2995200,0.452684,0.458978,0.017889,6.84873e-07,3,0.142434,9.76045e-06,4,0.138066,3.65672e-06,4,0.734622,0.030031,4,0.730092,9.37798e-07,60,6.73662e-11,-3.57265e-20,-5.93375e-19,2.15981e-15,-3.17515e-20,-6.25126e-19,11,9.27,90.89,8.162
n_00008/mpi_00016/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_PCG-preconditioner_diagonal,log.pimpleFoam.67670,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,PCG,diagonal,dev,Jan 11 2018,14:53:27,16,2995200,0.452684,0.458978,0.017889,6.84873e-07,3,0.142482,9.76122e-06,4,0.137998,3.66188e-06,4,0.734584,0.0356196,40,0.731115,9.87237e-07,1691,7.99909e-11,-4.25576e-20,-6.05323e-19,2.28044e-15,-4.41626e-20,-6.49486e-19,11,11.27,92.06,8.079
n_00008/mpi_00016/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_PCG-preconditioner_DIC,log.pimpleFoam.67670,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,PCG,DIC,dev,Jan 11 2018,14:42:24,16,2995200,0.452684,0.458978,0.017889,6.84873e-07,3,0.142506,9.75975e-06,4,0.13803,3.66127e-06,4,0.734746,0.0349461,21,0.730189,9.67608e-07,1043,7.84636e-11,-7.41403e-20,-9.00897e-19,2.22746e-15,-8.19606e-20,-9.82858e-19,11,8.58,59.32,5.074
n_00008/mpi_00016/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_GaussSeidel,log.pimpleFoam.67670,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,GaussSeidel,dev,Jan 11 2018,15:48:46,16,2995200,0.451803,0.458978,0.0142051,8.81642e-06,2,0.435947,2.37848e-06,5,0.454971,7.16062e-06,4,0.899963,0.0334829,5,0.856183,9.5926e-07,80,1.22111e-09,-8.56863e-20,-2.26328e-19,3.73597e-14,-8.48784e-20,-3.11207e-19,11,9.59,96.82,8.723
n_00008/mpi_00016/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_PCG-preconditioner_diagonal,log.pimpleFoam.67670,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,PCG,diagonal,dev,Jan 11 2018,15:33:42,16,2995200,0.451803,0.458978,0.0142051,8.81642e-06,2,0.434666,2.37302e-06,5,0.452176,7.09046e-06,4,0.899355,0.043684,74,0.857987,9.9578e-07,940,1.59704e-09,-6.14606e-20,-6.04515e-20,4.19756e-14,-6.20564e-20,-1.22508e-19,11,11.33,89.81,7.848
n_00008/mpi_00016/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_PCG-preconditioner_DIC,log.pimpleFoam.67670,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,PCG,DIC,dev,Jan 11 2018,15:18:53,16,2995200,0.451803,0.458978,0.0142051,8.81642e-06,2,0.434749,2.37332e-06,5,0.452371,7.09331e-06,4,0.899583,0.0429087,45,0.857122,9.87641e-07,588,1.56827e-09,-2.04672e-20,-3.9389e-19,4.12306e-14,-2.14433e-20,-4.15334e-19,11,7.62,58.12,5.05
