#decomposeParDict,method,fvSolution,solveBatch,log,Build,Date,Time,nNodes,nProcs,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimePerStepWOLastStep,ClockTimePerStep,ExecutionTimePerStepWOLastStep,ExecutionTimePerStep
mpi_00032-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,07:10:52,1,32,0.445924,0.461484,0.003552,3.29733e-06,2,0.0737063,1.35255e-06,4,0.0996737,2.39195e-06,4,0.855941,0.0399315,15,0.855409,9.92152e-07,497,1.06896e-09,-7.89347e-20,-3.54763e-18,2.66324e-14,-8.57995e-20,-3.63343e-18,52,7,198,203,5.18,196.61,201.11,3.82,3.84314,3.8286,3.84176
mpi_00032-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,07:11:51,1,32,0.445924,0.461484,0.003552,3.29733e-06,2,0.0737063,1.35255e-06,4,0.0996737,2.39195e-06,4,0.855941,0.0399316,15,0.855409,9.97537e-07,476,1.06896e-09,-6.47638e-20,-3.55922e-18,2.67793e-14,-1.05743e-19,-3.66496e-18,52,8,204,208,5.24,200.89,205.38,3.92,3.92157,3.913,3.92431
mpi_00032-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,07:12:14,1,32,0.445924,0.461484,0.003552,3.29733e-06,2,0.0737063,1.35255e-06,4,0.0996737,2.39194e-06,4,0.855941,0.0399315,15,0.855409,9.90384e-07,476,1.06896e-09,-1.05388e-19,-3.063e-18,2.65874e-14,-8.26218e-20,-3.14562e-18,52,7,197,202,5.13,195.05,199.37,3.8,3.82353,3.7984,3.80863
mpi_00032-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,07:04:36,1,32,0.445924,0.461484,0.003552,3.29733e-06,2,0.0737063,1.35255e-06,4,0.0996737,2.39194e-06,4,0.855941,0.0399316,15,0.855409,9.9162e-07,476,1.06897e-09,-1.02191e-19,-4.88012e-18,2.66206e-14,-1.11268e-19,-4.99139e-18,52,10,182,185,7.75,179.59,183.49,3.44,3.43137,3.4368,3.44588
mpi_00032-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,06:44:31,1,32,0.445924,0.461484,0.003552,3.29733e-06,2,0.0737063,1.35255e-06,4,0.0996737,2.39195e-06,4,0.855941,0.0399315,15,0.855409,9.91416e-07,497,1.06896e-09,-1.02636e-19,-4.7531e-18,2.66127e-14,-8.15014e-20,-4.8346e-18,52,7,182,187,4.87,180.07,184.13,3.5,3.52941,3.504,3.5149
mpi_00032-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,06:45:06,1,32,0.445924,0.461484,0.003552,3.29733e-06,2,0.0737063,1.35255e-06,4,0.0996737,2.39195e-06,4,0.855941,0.0399315,15,0.855409,9.9883e-07,476,1.06896e-09,-6.3271e-20,-3.51175e-18,2.6814e-14,-4.94763e-20,-3.56123e-18,52,6,178,182,4.62,175.93,179.81,3.44,3.45098,3.4262,3.4351
mpi_00032-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,07:04:37,1,32,0.445924,0.461484,0.003552,3.29733e-06,2,0.0737063,1.35255e-06,4,0.0996737,2.39195e-06,4,0.855941,0.0399316,15,0.855409,9.96355e-07,475,1.06896e-09,-1.15808e-19,-4.56915e-18,2.6748e-14,-1.03705e-19,-4.67286e-18,52,10,242,248,8.15,240.2,245.51,4.64,4.66667,4.641,4.65412
mpi_00032-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,07:04:55,1,32,0.445924,0.461484,0.003552,3.29733e-06,2,0.0737063,1.35255e-06,4,0.0996737,2.39195e-06,4,0.855941,0.0399315,15,0.855409,9.77507e-07,498,1.06896e-09,-9.24708e-20,-4.35928e-18,2.62397e-14,-1.01439e-19,-4.46072e-18,52,9,244,250,7.08,241.8,247.39,4.7,4.72549,4.6944,4.71196
mpi_00032-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,07:09:10,1,32,0.445924,0.461484,0.003552,3.29733e-06,2,0.0737063,1.35255e-06,4,0.0996737,2.39194e-06,4,0.855941,0.0399315,15,0.855409,9.96707e-07,475,1.06896e-09,-9.55424e-20,-2.80545e-18,2.67573e-14,-9.0599e-20,-2.89604e-18,52,9,241,246,6.61,238.15,243.45,4.64,4.64706,4.6308,4.64392
mpi_00064-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,07:20:38,2,64,0.445924,0.461484,0.003552,3.70672e-06,2,0.0795495,1.65763e-06,4,0.104029,2.58497e-06,4,0.849497,0.0423585,14,0.850997,9.7319e-07,462,1.27265e-09,-3.77199e-20,8.0664e-19,2.93561e-14,-2.37707e-20,7.8287e-19,52,4,89,91,2.28,86.77,88.45,1.7,1.70588,1.6898,1.68961
