#decomposeParDict,method,fvSolution,solveBatch,log,Build,Date,Time,nNodes,nProcs,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimePerStepWOLastStep,ClockTimePerStep,ExecutionTimePerStepWOLastStep,ExecutionTimePerStep
mpi_00032-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:39:15,1,32,0.445924,0.461484,0.003552,3.29733e-06,2,0.0737063,1.35255e-06,4,0.0996737,2.39195e-06,4,0.855941,0.0399315,15,0.855409,9.92152e-07,497,1.06896e-09,-7.89347e-20,-3.54763e-18,2.66324e-14,-8.57995e-20,-3.63343e-18,52,7,198,202,5.25,195.6,200.08,3.82,3.82353,3.807,3.8202
mpi_00032-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:40:57,1,32,0.445924,0.461484,0.003552,3.29733e-06,2,0.0737063,1.35255e-06,4,0.0996737,2.39195e-06,4,0.855941,0.0399316,15,0.855409,9.97537e-07,476,1.06896e-09,-6.47638e-20,-3.55922e-18,2.67793e-14,-1.05743e-19,-3.66496e-18,52,8,202,207,5.01,199.26,203.68,3.88,3.90196,3.885,3.89549
mpi_00032-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:42:50,1,32,0.445924,0.461484,0.003552,3.29733e-06,2,0.0737063,1.35255e-06,4,0.0996737,2.39194e-06,4,0.855941,0.0399315,15,0.855409,9.90384e-07,476,1.06896e-09,-1.05388e-19,-3.063e-18,2.65874e-14,-8.26218e-20,-3.14562e-18,52,7,197,201,4.97,194.66,198.99,3.8,3.80392,3.7938,3.80431
mpi_00032-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:33:27,1,32,0.445924,0.461484,0.003552,3.29733e-06,2,0.0737063,1.35255e-06,4,0.0996737,2.39194e-06,4,0.855941,0.0399316,15,0.855409,9.9162e-07,476,1.06897e-09,-1.02191e-19,-4.88012e-18,2.66206e-14,-1.11268e-19,-4.99139e-18,52,7,178,182,4.53,175.8,179.73,3.42,3.43137,3.4254,3.43529
mpi_00032-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:33:38,1,32,0.445924,0.461484,0.003552,3.29733e-06,2,0.0737063,1.35255e-06,4,0.0996737,2.39195e-06,4,0.855941,0.0399315,15,0.855409,9.91416e-07,497,1.06896e-09,-1.02636e-19,-4.7531e-18,2.66127e-14,-8.15014e-20,-4.8346e-18,52,7,179,183,4.54,176.73,180.8,3.44,3.45098,3.4438,3.45608
mpi_00032-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196,log.pimpleFoam.No1,4.1IAR,Nov 21 2017,11:00:25,1,32,0.445924,0.461484,0.003552,3.29733e-06,2,0.0737063,1.35255e-06,4,0.0996737,2.39195e-06,4,0.855941,0.0399315,15,0.855409,9.9883e-07,476,1.06896e-09,-6.3271e-20,-3.51175e-18,2.6814e-14,-4.94763e-20,-3.56123e-18,52,8,179,183,4.82,175.22,179.09,3.42,3.43137,3.408,3.41706
mpi_00032-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:35:48,1,32,0.445924,0.461484,0.003552,3.29733e-06,2,0.0737063,1.35255e-06,4,0.0996737,2.39195e-06,4,0.855941,0.0399316,15,0.855409,9.96355e-07,475,1.06896e-09,-1.15808e-19,-4.56915e-18,2.6748e-14,-1.03705e-19,-4.67286e-18,52,9,240,246,5.98,237.57,242.88,4.62,4.64706,4.6318,4.6451
mpi_00032-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:37:40,1,32,0.445924,0.461484,0.003552,3.29733e-06,2,0.0737063,1.35255e-06,4,0.0996737,2.39195e-06,4,0.855941,0.0399315,15,0.855409,9.77507e-07,498,1.06896e-09,-9.24708e-20,-4.35928e-18,2.62397e-14,-1.01439e-19,-4.46072e-18,52,9,248,254,6.23,245.18,250.96,4.78,4.80392,4.779,4.79863
mpi_00032-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:37:51,1,32,0.445924,0.461484,0.003552,3.29733e-06,2,0.0737063,1.35255e-06,4,0.0996737,2.39194e-06,4,0.855941,0.0399315,15,0.855409,9.96707e-07,475,1.06896e-09,-9.55424e-20,-2.80545e-18,2.67573e-14,-9.0599e-20,-2.89604e-18,52,7,238,244,5.96,237.28,242.58,4.62,4.64706,4.6264,4.63961
mpi_00064-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:47:53,2,64,0.445924,0.461484,0.003552,3.70672e-06,2,0.0794955,1.65631e-06,4,0.103941,2.58029e-06,4,0.849616,0.0423658,14,0.851105,9.91324e-07,459,1.27265e-09,-1.40803e-21,1.56133e-19,2.9896e-14,-1.78947e-20,1.38239e-19,52,5,89,91,2.26,86.35,88.01,1.68,1.68627,1.6818,1.68137
