#log,decomposeParDict,method,fvSolution,solveBatch,Build,Date,Time,nNodes,nProcs,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimePerStepWOLastStep,ClockTimePerStep,ExecutionTimePerStepWOLastStep,ExecutionTimePerStep
log.pimpleFoam.1th,mpi_0018-method_scotch,scotch,GAMG-DIC,OF41_Icc_INTELMPI_1socket,4.1,Nov 17 2016,11:14:59,1,18,0.445924,0.461484,0.003552,2.54187e-06,2,0.0687636,2.14147e-06,4,0.097314,3.49895e-06,4,0.840436,0.0299894,2,0.834926,9.47538e-07,33,6.34377e-10,-7.64128e-20,-7.58476e-19,2.00427e-14,-1.02977e-19,-8.61452e-19,52,7,238,242,5.64,236.96,241.36,4.62,4.60784,4.6264,4.62196
log.pimpleFoam.1th,mpi_0018-method_scotch,scotch,PCG-DIC,OF41_Icc_INTELMPI_1socket,4.1,Nov 17 2016,11:14:59,1,18,0.445924,0.461484,0.003552,2.54187e-06,2,0.0691231,2.14945e-06,4,0.0973618,3.47585e-06,4,0.841006,0.0391056,16,0.839503,9.64484e-07,261,8.27331e-10,-1.07172e-19,-2.5812e-18,2.27203e-14,-9.25316e-20,-2.67373e-18,52,12,382,388,10.87,380.45,386.56,7.4,7.37255,7.3916,7.36647
