#Dir,file,mx,my,mz,deltaT,endTime,method,nx,ny,nz,simulationType,LESModel,delta,calcInterval,solver,preconditioner,Build,Date,Time,nProcs,nCells,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep
n_00016/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.1645382.t2zpbs01,302,164,121,0.001587,0.082524,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0,Dec 28 2015,16:20:18,10,5992888,0.446267,0.460144,0.00342468,3.53508e-06,2,0.0531811,5.13524e-06,3,0.0944313,1.08507e-06,4,0.832817,0.0408094,14,0.838982,9.69455e-07,265,1.0793e-09,2.62122e-19,-2.62514e-18,2.86434e-14,-1.07888e-18,-3.70402e-18,52,54.24,2358.64,2389.48,56,2375,2407
n_00016/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.1645604.t2zpbs01,302,164,121,0.001587,0.082524,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0,Dec 29 2015,07:46:34,10,5992888,0.446267,0.460144,0.00342468,3.53508e-06,2,0.0531811,5.13524e-06,3,0.0944313,1.08507e-06,4,0.832817,0.0408094,14,0.838982,9.69455e-07,265,1.0793e-09,2.62122e-19,-2.62514e-18,2.86434e-14,-1.07888e-18,-3.70402e-18,52,54.08,2373.15,2403.74,54,2373,2404
n_00016/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.1645608.t2zpbs01,302,164,121,0.001587,0.082524,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0,Dec 29 2015,07:47:18,10,5992888,0.446267,0.460144,0.00342468,3.53508e-06,2,0.0531811,5.13524e-06,3,0.0944313,1.08507e-06,4,0.832817,0.0408094,14,0.838982,9.69455e-07,265,1.0793e-09,2.62122e-19,-2.62514e-18,2.86434e-14,-1.07888e-18,-3.70402e-18,52,51.89,2319.17,2350.75,52,2319,2351
n_00016/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.1645610.t2zpbs01,302,164,121,0.001587,0.082524,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0,Dec 29 2015,08:00:24,10,5992888,0.446267,0.460144,0.00342468,3.53508e-06,2,0.0531811,5.13524e-06,3,0.0944313,1.08507e-06,4,0.832817,0.0408094,14,0.838982,9.69455e-07,265,1.0793e-09,2.62122e-19,-2.62514e-18,2.86434e-14,-1.07888e-18,-3.70402e-18,52,54.23,2371.17,2401.77,54,2371,2402
n_00016/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.1645644.t2zpbs01,302,164,121,0.001587,0.082524,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0,Dec 29 2015,09:05:39,10,5992888,0.446267,0.460144,0.00342468,3.53508e-06,2,0.0531811,5.13524e-06,3,0.0944313,1.08507e-06,4,0.832817,0.0408094,14,0.838982,9.69455e-07,265,1.0793e-09,2.62122e-19,-2.62514e-18,2.86434e-14,-1.07888e-18,-3.70402e-18,52,53.98,2373.38,2403.98,54,2374,2404
n_00016/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.1645819.t2zpbs01,302,164,121,0.001587,0.082524,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0,Dec 29 2015,18:04:15,10,5992888,0.446267,0.460144,0.00342468,3.53508e-06,2,0.0531811,5.13524e-06,3,0.0944313,1.08507e-06,4,0.832817,0.0408094,14,0.838982,9.69455e-07,265,1.0793e-09,2.62122e-19,-2.62514e-18,2.86434e-14,-1.07888e-18,-3.70402e-18,52,54.01,2373.89,2404.56,54,2374,2405
n_00016/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.1645827.t2zpbs01,302,164,121,0.001587,0.082524,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0,Dec 29 2015,18:05:15,10,5992888,0.446267,0.460144,0.00342468,3.53508e-06,2,0.0531811,5.13524e-06,3,0.0944313,1.08507e-06,4,0.832817,0.0408094,14,0.838982,9.69455e-07,265,1.0793e-09,2.62122e-19,-2.62514e-18,2.86434e-14,-1.07888e-18,-3.70402e-18,52,54.05,2435.58,2464.77,54,2436,2465
n_00016/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.1645832.t2zpbs01,302,164,121,0.001587,0.082524,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0,Dec 29 2015,18:11:58,10,5992888,0.446267,0.460144,0.00342468,3.53508e-06,2,0.0531811,5.13524e-06,3,0.0944313,1.08507e-06,4,0.832817,0.0408094,14,0.838982,9.69455e-07,265,1.0793e-09,2.62122e-19,-2.62514e-18,2.86434e-14,-1.07888e-18,-3.70402e-18,52,54.05,2373.73,2404.36,54,2374,2404
n_00016/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.831788.t2zpbs05,302,164,121,0.001587,0.082524,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0,Dec 28 2015,19:51:24,10,5992888,0.446267,0.460144,0.00342468,3.53508e-06,2,0.0531811,5.13524e-06,3,0.0944313,1.08507e-06,4,0.832817,0.0408094,14,0.838982,9.69455e-07,265,1.0793e-09,2.62122e-19,-2.62514e-18,2.86434e-14,-1.07888e-18,-3.70402e-18,52,54.03,2341.82,2371.14,57,2347,2377
n_00016/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.831828.t2zpbs05,302,164,121,0.001587,0.082524,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0,Dec 29 2015,07:45:48,10,5992888,0.446267,0.460144,0.00342468,3.53508e-06,2,0.0531811,5.13524e-06,3,0.0944313,1.08507e-06,4,0.832817,0.0408094,14,0.838982,9.69455e-07,265,1.0793e-09,2.62122e-19,-2.62514e-18,2.86434e-14,-1.07888e-18,-3.70402e-18,52,53.95,2371.67,2402.28,55,2372,2403
n_00016/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.831856.t2zpbs05,302,164,121,0.001587,0.082524,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0,Dec 29 2015,07:55:03,10,5992888,0.446267,0.460144,0.00342468,3.53508e-06,2,0.0531811,5.13524e-06,3,0.0944313,1.08507e-06,4,0.832817,0.0408094,14,0.838982,9.69455e-07,265,1.0793e-09,2.62122e-19,-2.62514e-18,2.86434e-14,-1.07888e-18,-3.70402e-18,52,54.1,2349.7,2379.11,54,2349,2379
n_00016/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.831970.t2zpbs05,302,164,121,0.001587,0.082524,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0,Dec 29 2015,14:42:57,10,5992888,0.446267,0.460144,0.00342468,3.53508e-06,2,0.0531811,5.13524e-06,3,0.0944313,1.08507e-06,4,0.832817,0.0408094,14,0.838982,9.69455e-07,265,1.0793e-09,2.62122e-19,-2.62514e-18,2.86434e-14,-1.07888e-18,-3.70402e-18,52,53.22,2740.19,2775.92,54,2741,2777
n_00016/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.831989.t2zpbs05,302,164,121,0.001587,0.082524,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0,Dec 29 2015,15:46:28,10,5992888,0.446267,0.460144,0.00342468,3.53508e-06,2,0.0531811,5.13524e-06,3,0.0944313,1.08507e-06,4,0.832817,0.0408094,14,0.838982,9.69455e-07,265,1.0793e-09,2.62122e-19,-2.62514e-18,2.86434e-14,-1.07888e-18,-3.70402e-18,52,53.87,2296.85,2328.03,55,2298,2330
n_00016/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.832006.t2zpbs05,302,164,121,0.001587,0.082524,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0,Dec 29 2015,16:22:10,10,5992888,0.446267,0.460144,0.00342468,3.53508e-06,2,0.0531811,5.13524e-06,3,0.0944313,1.08507e-06,4,0.832817,0.0408094,14,0.838982,9.69455e-07,265,1.0793e-09,2.62122e-19,-2.62514e-18,2.86434e-14,-1.07888e-18,-3.70402e-18,52,52.53,2398.67,2429.72,54,2400,2431
n_00016/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.832010.t2zpbs05,302,164,121,0.001587,0.082524,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0,Dec 29 2015,16:25:49,10,5992888,0.446267,0.460144,0.00342468,3.53508e-06,2,0.0531811,5.13524e-06,3,0.0944313,1.08507e-06,4,0.832817,0.0408094,14,0.838982,9.69455e-07,265,1.0793e-09,2.62122e-19,-2.62514e-18,2.86434e-14,-1.07888e-18,-3.70402e-18,52,78.1,2950.23,2989.91,78,2952,2992
n_00016/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.832076.t2zpbs05,302,164,121,0.001587,0.082524,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0,Dec 29 2015,18:03:24,10,5992888,0.446267,0.460144,0.00342468,3.53508e-06,2,0.0531811,5.13524e-06,3,0.0944313,1.08507e-06,4,0.832817,0.0408094,14,0.838982,9.69455e-07,265,1.0793e-09,2.62122e-19,-2.62514e-18,2.86434e-14,-1.07888e-18,-3.70402e-18,52,62.63,3262.77,3311.98,62,3263,3313
n_00016/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.832091.t2zpbs05,302,164,121,0.001587,0.082524,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0,Dec 29 2015,18:08:27,10,5992888,0.446267,0.460144,0.00342468,3.53508e-06,2,0.0531811,5.13524e-06,3,0.0944313,1.08507e-06,4,0.832817,0.0408094,14,0.838982,9.69455e-07,265,1.0793e-09,2.62122e-19,-2.62514e-18,2.86434e-14,-1.07888e-18,-3.70402e-18,52,63.32,2841.23,2880.43,64,2843,2882
n_00016/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.832094.t2zpbs05,302,164,121,0.001587,0.082524,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0,Dec 29 2015,18:11:18,10,5992888,0.446267,0.460144,0.00342468,3.53508e-06,2,0.0531811,5.13524e-06,3,0.0944313,1.08507e-06,4,0.832817,0.0408094,14,0.838982,9.69455e-07,265,1.0793e-09,2.62122e-19,-2.62514e-18,2.86434e-14,-1.07888e-18,-3.70402e-18,52,63.79,3231.52,3281.87,64,3232,3283
