#Dir,file,mx,my,mz,deltaT,endTime,method,nx,ny,nz,simulationType,LESModel,delta,solver,preconditioner,Build,Date,Time,nProcs,nCells,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ExectutionTime0(s),ExectutionTime1(s),ExectutionTime/Steps(s)
n_00008/mpi_00064/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_GAMG-smoother_GaussSeidel,log.pimpleFoam.9724,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,GAMG,GaussSeidel,dev,Jan 11 2018,15:47:39,64,2995200,0.452684,0.458978,0.017889,8.73297e-07,3,0.14661,9.46834e-07,5,0.144212,9.92772e-06,4,0.775447,0.033145,4,0.779271,9.65975e-07,50,1.08534e-10,-9.42047e-20,-2.35536e-18,3.22053e-15,-9.22428e-20,-2.4476e-18,11,17.27,154.18,13.691
n_00008/mpi_00064/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_PCG-preconditioner_diagonal,log.pimpleFoam.9724,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,PCG,diagonal,dev,Jan 11 2018,15:33:42,64,2995200,0.452684,0.458978,0.017889,8.73297e-07,3,0.146678,9.47086e-07,5,0.144229,9.93424e-06,4,0.775387,0.0386904,39,0.780646,9.89056e-07,866,1.26862e-10,-1.06438e-19,-2.73155e-18,3.61373e-15,-1.06132e-19,-2.83769e-18,11,6.67,26.12,1.945
n_00008/mpi_00064/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_PCG-preconditioner_DIC,log.pimpleFoam.9724,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,PCG,DIC,dev,Jan 11 2018,15:20:51,64,2995200,0.452684,0.458978,0.017889,8.73297e-07,3,0.146722,9.47013e-07,5,0.144276,9.93581e-06,4,0.775595,0.038774,21,0.779732,9.83744e-07,549,1.27072e-10,-1.24608e-19,-2.56796e-18,3.51013e-15,-1.27068e-19,-2.69503e-18,11,31.32,46.52,1.52
n_00008/mpi_00064/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_GaussSeidel,log.pimpleFoam.9724,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,GaussSeidel,dev,Jan 11 2018,16:27:53,64,2995200,0.451803,0.458978,0.0142051,7.2828e-07,3,0.140692,7.59656e-06,4,0.135236,7.45294e-06,4,0.749459,0.0321901,4,0.747616,9.63225e-07,53,1.03711e-10,-1.17045e-19,-2.68919e-18,3.16411e-15,-1.16961e-19,-2.80615e-18,11,22.17,155.97,13.38
n_00008/mpi_00064/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_PCG-preconditioner_diagonal,log.pimpleFoam.9724,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,PCG,diagonal,dev,Jan 11 2018,16:16:03,64,2995200,0.451803,0.458978,0.0142051,7.2828e-07,3,0.140737,7.59897e-06,4,0.135274,7.45659e-06,4,0.749505,0.0370525,41,0.749175,9.78226e-07,865,1.19506e-10,-1.17121e-19,-2.51552e-18,3.35149e-15,-1.14806e-19,-2.63032e-18,11,4.47,21.36,1.689
n_00008/mpi_00064/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_PCG-preconditioner_DIC,log.pimpleFoam.9724,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,PCG,DIC,dev,Jan 11 2018,16:03:55,64,2995200,0.451803,0.458978,0.0142051,7.2828e-07,3,0.140755,7.59811e-06,4,0.135287,7.45655e-06,4,0.749575,0.0365349,22,0.748094,9.79601e-07,549,1.17801e-10,-1.25149e-19,-2.62179e-18,3.2679e-15,-1.2386e-19,-2.74565e-18,11,12.23,25.64,1.341
