#No,nProcs,solver,executionTimePerTimeStepAve[s],clockTimePerTimeStepAve[s],executionTimePerTimeStepAve/No1,clockTimePerTimeStepAve/No1
1,128,PCG-DIC,0.59179999999999999,0.62,1.0,1.0
2,112,PCG-DIC,0.64500000000000002,0.66000000000000003,1.0898952348766475,1.0645161290322582
3,80,PCG-DIC,0.99560000000000004,1.0,1.6823251098344036,1.6129032258064517
4,96,PCG-DIC,1.0558000000000001,1.0800000000000001,1.7840486650895575,1.741935483870968
5,96,GAMG-DIC,1.1574,1.1799999999999999,1.9557282865833052,1.9032258064516128
6,64,PCG-DIC,1.2835999999999999,1.3,2.1689760054072318,2.096774193548387
7,128,GAMG-DIC,1.3037999999999998,1.3200000000000001,2.2031091584994926,2.1290322580645165
8,64,GAMG-DIC,1.4285999999999999,1.4399999999999999,2.4139912132477188,2.32258064516129
9,112,GAMG-DIC,1.4345999999999999,1.4399999999999999,2.4241297735721528,2.32258064516129
10,80,GAMG-DIC,1.4858000000000002,1.5,2.5106454883406562,2.4193548387096775
11,48,GAMG-DIC,1.5284,1.54,2.5826292666441364,2.4838709677419355
12,48,PCG-DIC,1.7087999999999999,1.72,2.8874619803987831,2.7741935483870965
13,32,GAMG-DIC,2.1621999999999999,2.1800000000000002,3.653599188915174,3.5161290322580649
14,32,PCG-DIC,3.0353999999999997,3.04,5.1290976681311244,4.903225806451613
15,16,GAMG-DIC,4.5368000000000004,4.5599999999999996,7.6661034133153096,7.354838709677419
16,16,PCG-DIC,5.6870000000000003,5.7199999999999998,9.6096654275092934,9.2258064516129021
