#Dir,file,mx,my,mz,deltaT,endTime,method,nx,ny,nz,simulationType,LESModel,delta,calcInterval,solver,preconditioner,Build,Date,Time,nProcs,nCells,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep
n_00008/mpi_00020/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.525854,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,14:57:49,20,2995200,0.445924,0.461484,0.003552,3.19102e-06,2,0.0713466,2.74181e-06,4,0.0955282,2.13824e-06,4,0.830201,0.0270234,2,0.825182,9.39094e-07,35,7.28987e-10,-1.60171e-19,-9.88311e-20,2.53268e-14,4.05972e-20,-5.82339e-20,52,8.1,337.55,343.89,11,341,348
n_00008/mpi_00020/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.525887,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,15:16:30,20,2995200,0.445924,0.461484,0.003552,3.19102e-06,2,0.0713466,2.74181e-06,4,0.0955282,2.13824e-06,4,0.830201,0.0270234,2,0.825182,9.39094e-07,35,7.28987e-10,-1.60171e-19,-9.88311e-20,2.53268e-14,4.05972e-20,-5.82339e-20,52,8.26,338,344.35,11,341,348
n_00008/mpi_00020/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.525921,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,15:22:48,20,2995200,0.445924,0.461484,0.003552,3.19102e-06,2,0.0713466,2.74181e-06,4,0.0955282,2.13824e-06,4,0.830201,0.0270234,2,0.825182,9.39094e-07,35,7.28987e-10,-1.60171e-19,-9.88311e-20,2.53268e-14,4.05972e-20,-5.82339e-20,52,8.2,337.67,343.99,10,340,347
n_00008/mpi_00020/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.525929,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,15:29:02,20,2995200,0.445924,0.461484,0.003552,3.19102e-06,2,0.0713466,2.74181e-06,4,0.0955282,2.13824e-06,4,0.830201,0.0270234,2,0.825182,9.39094e-07,35,7.28987e-10,-1.60171e-19,-9.88311e-20,2.53268e-14,4.05972e-20,-5.82339e-20,52,8.17,337.39,343.72,10,340,347
n_00008/mpi_00020/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.525942,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,15:35:30,20,2995200,0.445924,0.461484,0.003552,3.19102e-06,2,0.0713466,2.74181e-06,4,0.0955282,2.13824e-06,4,0.830201,0.0270234,2,0.825182,9.39094e-07,35,7.28987e-10,-1.60171e-19,-9.88311e-20,2.53268e-14,4.05972e-20,-5.82339e-20,52,8.53,355.72,362.39,10,357,366
n_00008/mpi_00020/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.525957,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,15:42:00,20,2995200,0.445924,0.461484,0.003552,3.19102e-06,2,0.0713466,2.74181e-06,4,0.0955282,2.13824e-06,4,0.830201,0.0270234,2,0.825182,9.39094e-07,35,7.28987e-10,-1.60171e-19,-9.88311e-20,2.53268e-14,4.05972e-20,-5.82339e-20,52,8.27,337.98,344.32,10,340,348
n_00008/mpi_00020/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.525035,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,07:39:27,20,2995200,0.445924,0.461484,0.003552,3.19102e-06,2,0.0716643,2.75546e-06,4,0.0955419,2.14455e-06,4,0.830661,0.039219,14,0.831432,9.93609e-07,249,1.05819e-09,2.32318e-20,-3.05268e-18,2.72126e-14,2.41582e-21,-3.05026e-18,52,10.12,397.12,404.74,11,398,408
n_00008/mpi_00020/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.525068,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,08:18:26,20,2995200,0.445924,0.461484,0.003552,3.19102e-06,2,0.0716643,2.75546e-06,4,0.0955419,2.14455e-06,4,0.830661,0.039219,14,0.831432,9.93609e-07,249,1.05819e-09,2.32318e-20,-3.05268e-18,2.72126e-14,2.41582e-21,-3.05026e-18,52,10.25,397.29,404.89,11,399,408
n_00008/mpi_00020/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.525098,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,08:55:00,20,2995200,0.445924,0.461484,0.003552,3.19102e-06,2,0.0716643,2.75546e-06,4,0.0955419,2.14455e-06,4,0.830661,0.039219,14,0.831432,9.93609e-07,249,1.05819e-09,2.32318e-20,-3.05268e-18,2.72126e-14,2.41582e-21,-3.05026e-18,52,10.15,397.02,404.61,12,399,408
n_00008/mpi_00020/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.525151,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,09:28:33,20,2995200,0.445924,0.461484,0.003552,3.19102e-06,2,0.0716643,2.75546e-06,4,0.0955419,2.14455e-06,4,0.830661,0.039219,14,0.831432,9.93609e-07,249,1.05819e-09,2.32318e-20,-3.05268e-18,2.72126e-14,2.41582e-21,-3.05026e-18,52,10.18,397.24,404.85,12,400,409
n_00008/mpi_00020/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.525169,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,09:35:29,20,2995200,0.445924,0.461484,0.003552,3.19102e-06,2,0.0716643,2.75546e-06,4,0.0955419,2.14455e-06,4,0.830661,0.039219,14,0.831432,9.93609e-07,249,1.05819e-09,2.32318e-20,-3.05268e-18,2.72126e-14,2.41582e-21,-3.05026e-18,52,10.31,397.73,405.37,11,399,409
n_00008/mpi_00040/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.525047,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,07:57:29,40,2995200,0.445924,0.461484,0.003552,3.85572e-06,2,0.0753685,3.08234e-06,4,0.0962397,1.80166e-06,4,0.833131,0.0283464,2,0.829446,9.79464e-07,28,9.27302e-10,9.68402e-20,-1.7199e-18,3.20859e-14,8.09526e-20,-1.63894e-18,52,3.89,151.15,154.06,5,152,156
