#No,nProcs,solver,executionTimePerTimeStepAve[s],clockTimePerTimeStepAve[s],executionTimePerTimeStepAve/No1,clockTimePerTimeStepAve/No1
1,72,PCG-AINV,1.4519200000000001,1.488,1.0,1.0
2,144,PCG-AINV,2.17672,2.1879999999999997,1.4992010579095265,1.4704301075268815
3,18,PCG-AINV,2.8757600000000001,3.496,1.9806600914650945,2.349462365591398
4,48,PCG-AINV,3.4186000000000001,4.1719999999999997,2.3545374400793433,2.803763440860215
5,36,PCG-AINV,3.1106400000000001,4.2880000000000003,2.1424320899223095,2.881720430107527
6,60,PCG-AINV,3.8800000000000003,4.7960000000000003,2.6723235439969146,3.2231182795698925
7,24,PCG-AINV,3.6769599999999998,4.8519999999999994,2.532481128436828,3.2607526881720426
8,9,PCG-AINV,4.8959200000000012,5.9199999999999999,3.3720315168879833,3.978494623655914
9,12,PCG-AINV,5.1558400000000004,5.992,3.5510496446085185,4.0268817204301079
10,6,PCG-AINV,5.9463999999999997,6.9400000000000004,4.0955424541297036,4.663978494623656
11,3,PCG-AINV,10.870480000000001,12.212,7.4869689790071074,8.206989247311828
