#Dir,file,mx,my,mz,deltaT,endTime,method,nx,ny,nz,simulationType,LESModel,delta,calcInterval,solver,preconditioner,Build,Date,Time,nProcs,nCells,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.434052,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 22 2015,09:09:09,10,2995200,0.452684,0.458979,0.017889,6.86963e-07,3,0.145617,5.45376e-06,4,0.140678,6.55551e-06,4,0.722494,0.0281685,7,0.718014,9.99996e-07,215,5.14884e-11,-1.20843e-19,3.52165e-19,2.08522e-15,-1.20957e-19,2.31208e-19,11,25.39,160.63,173.61
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.436068,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 22 2015,19:43:40,10,2995200,0.452684,0.458979,0.017889,6.86963e-07,3,0.145617,5.45376e-06,4,0.140678,6.55551e-06,4,0.722494,0.0281685,7,0.718014,9.99996e-07,215,5.14884e-11,-1.20843e-19,3.52165e-19,2.08522e-15,-1.20957e-19,2.31208e-19,11,25.29,153.07,165.32
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.436072,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 22 2015,19:49:33,10,2995200,0.452684,0.458979,0.017889,6.86963e-07,3,0.145617,5.45376e-06,4,0.140678,6.55551e-06,4,0.722494,0.0281685,7,0.718014,9.99996e-07,215,5.14884e-11,-1.20843e-19,3.52165e-19,2.08522e-15,-1.20957e-19,2.31208e-19,11,25.6,155.64,168.38
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.436076,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 22 2015,19:55:32,10,2995200,0.452684,0.458979,0.017889,6.86963e-07,3,0.145617,5.45376e-06,4,0.140678,6.55551e-06,4,0.722494,0.0281685,7,0.718014,9.99996e-07,215,5.14884e-11,-1.20843e-19,3.52165e-19,2.08522e-15,-1.20957e-19,2.31208e-19,11,25.21,155.86,168.52
n_00008/mpi_00020/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.434065,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 22 2015,13:12:11,20,2995200,0.452684,0.458979,0.017889,7.35316e-07,3,0.145572,5.76933e-06,4,0.143389,5.61804e-06,4,0.732635,0.0311325,7,0.729361,9.78495e-07,223,6.61172e-11,-2.7849e-19,-1.58579e-18,2.2956e-15,-2.73608e-20,-1.61315e-18,11,10.06,68.94,75.58
n_00008/mpi_00020/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.436069,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 22 2015,19:47:17,20,2995200,0.452684,0.458979,0.017889,7.35316e-07,3,0.145572,5.76933e-06,4,0.143389,5.61804e-06,4,0.732635,0.0311325,7,0.729361,9.78495e-07,223,6.61172e-11,-2.7849e-19,-1.58579e-18,2.2956e-15,-2.73608e-20,-1.61315e-18,11,9.48,63.46,69.61
n_00008/mpi_00020/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.436073,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 22 2015,19:53:36,20,2995200,0.452684,0.458979,0.017889,7.35316e-07,3,0.145572,5.76933e-06,4,0.143389,5.61804e-06,4,0.732635,0.0311325,7,0.729361,9.78495e-07,223,6.61172e-11,-2.7849e-19,-1.58579e-18,2.2956e-15,-2.73608e-20,-1.61315e-18,11,9.44,63.09,69.54
n_00008/mpi_00020/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.436077,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 22 2015,19:59:33,20,2995200,0.452684,0.458979,0.017889,7.35316e-07,3,0.145572,5.76933e-06,4,0.143389,5.61804e-06,4,0.732635,0.0311325,7,0.729361,9.78495e-07,223,6.61172e-11,-2.7849e-19,-1.58579e-18,2.2956e-15,-2.73608e-20,-1.61315e-18,11,9.54,63.82,69.92
n_00008/mpi_00040/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.434074,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 22 2015,16:21:57,40,2995200,0.452684,0.458979,0.017889,8.00671e-07,3,0.147634,6.02151e-06,4,0.146284,5.2083e-06,4,0.729285,0.0309315,7,0.725779,9.71115e-07,232,7.91054e-11,-4.83951e-19,-1.14776e-20,2.76979e-15,-2.54409e-19,-2.65886e-19,11,7.05,40.72,44.08
